"","Heading","Text","Rating","Time"
"26","Great phone.  Just what I needed plus accessories.","Came in to get a new phone, but not sure what I needed.  Then the salesman turned into a consultant, led me to exactly what I need, and advised me on the size of memory and various protection items.  Could not have done it without the Best Buy rep.",5,2019-12-27 17:30:00
"27","The only phone that I wanted to buy","Been waiting for a good deal in order to get the iphone11 and finally Best Buy had a good promotion going. I like how the phone fits in my hand. I previously had the iphone 7 so this was quite the upgrade for me.",5,2020-01-10 15:38:00
"28","It is a very good smart phone for a beginner.","This is my first smart phone. I was thinking about getting last year’s XR. Now I got this iPhone 11 with cheaper price . I am pretty happy with it. After I got it last month, I did go to Apple store for a class. There are so much to learn though. Since I already retired, I will spend more time for Apple classes. Thx. Apple!",5,2019-11-14 23:31:00
"29","Still learning how to use.","For someone that was not computer literate it has been one of the easiest phones I’ve tried to use.",5,2020-02-29 12:52:00
"30","Upgrade","So far great phone, having fun with it, definitely some things are different, can’t say good or bad either way, happy with this new phone",5,2020-02-09 09:19:00
"31","Love the upgrade","The service at Best Buy for upgrades is fast and professional. Love the new iPhone as well. Never liked parting with the iPhone 7 so am really pleased with this one as it feels as robust.",5,2020-01-13 07:04:00
"32","Buy Apple at Best Buy","Forget the rest and buy the best.  Apple is great in high quality feature and functionality.  The camera system is far superior to any of the previous models and that’s the specific standout feature in this model. Be sure to buy your iPhone only from Best Buy because they match any offer and their service and support is superior.",5,2019-11-01 17:39:00
"33","Can’t Beat Apple","Forget the rest and buy the best.  Apple is great in high quality feature and functionality.  The camera system is far superior to any of the previous models and that’s the specific standout feature in this model. Be sure to buy your iPhone only from Best Buy because they match any offer and their service and support is superior.",5,2019-11-01 17:38:00
"34","Apple is Best","Forget the rest and buy the best.  Apple is great in high quality feature and functionality.  The camera system is far superior to any of the previous models and that’s the specific standout feature in this model. Be sure to buy your iPhone only from Best Buy because they match any offer and their service and support is superior.",5,2019-11-01 17:37:00
"35","Great Apple upgrade","Big vibrant viewing screen. Overall phone is very easy to use and has an amazing camera.",5,2020-02-28 15:45:00
"36","My first Apple phone","Purchased on a BOGO deal and am really enjoying the phone. I think This phone is an improvement over my previous Android phone. Maycee at Best Buy spent a lot of time with us to make sure we were comfortable with our new purchases. She is a great asset to the Sprint team at Best Buy.",5,2019-11-22 22:22:00
"37","Value and Quality","I am an Apple user so it is no surprise that I upgraded to the new iPhone.  While I would have preferred to get the Pro, I chose to purchase the more financially friendly phone.  With that being said I am very satisfied with that decision.  The upgrades that have taken place internally are noticeable and appreciated.  The phone is light and the setup process was super easy.",5,2019-10-09 08:53:00
"38","Great phone...I am in love with it","I brought the I phone 11 and it was the best thing I could have ever purchase.  I had the 6S for years and it was paid for.  But I decided to try something new,  Great decision.",5,2020-01-11 08:04:00
"39","Nice phone","My wife loves it! She is still getting used to the touch screen and facial recognition versus the button, but likes the way it operates.",5,2020-01-30 16:25:00
"40","Great phone","Nice upgrade and people helping me were awesome. The sprint lady there was very knowledgeable.",5,2020-02-19 17:31:00
"41","Great","The phone  is excellent so far no problems everything is great would recommend to a friend",5,2020-02-21 15:58:00
"42","So far so good","I upgraded because it would lower my phone bill by $20 a month. I like the phone ,The camera dose much better then the X camera . In low light pictures. It’s seem to find Bluetooth easily and overall a great phone . Have not gotten my first New phone bill from sprint yet. But I do like the IPhone 11.",5,2019-11-01 19:11:00
"43","Great Phone!","This was a replacement. It was easy to set up and the size is great!",5,2020-02-28 16:46:00
"44","Apple iPhone 11","It is a great phone. Like how it works. Battery life is really good.",5,2020-02-28 18:18:00
"45","Fast and Beautiful Screen","Such an upgrade from the iPhone 8. I love the new beautiful Screen",5,2020-02-25 15:14:00
"46","Great phone for my daughter who’s 13","My daughter loves this phone, because sadly it’s a big deal at school to have the newest and best of everything.",5,2020-02-04 07:56:00
"47","Awesome phone","This phone is great . I truly stand with Apple and their products",5,2020-02-28 14:28:00
"48","Awesome phone","Great price and quality. Best iPhone yet.
Really like the color!",5,2020-02-28 18:37:00
"49","Great phone","Wife needed an upgrade from her iPhone 8 plus and she chose this. She was so worried about not having a physical home button but she loves her new phone.",5,2020-01-11 01:52:00
"50","Great product","The sales rep was great would send anyone interested in a phone to your store",5,2020-02-22 18:55:00
"51","Wife wanted an upgrade...","Bought the wife this iPhone 11. Felt the Plus was way over priced and didn't need the higher end features.

So this is a great upgrade from the iPhone 7.",5,2020-01-10 16:01:00
"52","Skip going to The Sprint Store","Went to upgrade at Sprint and once agin they didn’t have any phones in stock. Walked across the street to Best Buy and got a better deal. Best Buy insurance is way cheaper than Sprint also.",5,2019-12-20 16:45:00
"53","I am very please.  Just learning how to use.","I can ""handle"" all the ""basics"".  Just sent a great picture of my first ripe tomato (I live in deep South Texas)..to my good friend who now lives in the Upper Pennisula of Michigan.  He wrote back (tongue in cheek) that his tomatoes are under 3 feet of snow!

I am still learning.",4,2020-01-17 18:08:00
"54","For my girl","Always been fan of iPhone I bought this for my girl and she’s very happy with product",5,2020-02-15 10:25:00
"55","Happy overall","I switched over from Samsung and it was a pretty easy switch. Took a little getting used to with some of the different features but I would still recommend",5,2020-01-05 12:26:00
"56","Pretty good cell phone for Apple fan","I purchased it cause it was on sale and over all has lots of features I love. For example Find my Phone and being able to monitor the usage and time frame of usage.",4,2020-02-28 19:43:00
"57","So far...love the phone!","Ryan was exceptionally helpful in setting up my phone. He was very patient. However, I only know a thimbles worth of what this phone can do. I need a kindergarten class to help me.",5,2019-12-21 08:37:00
"58","Great phone!","Was an iphone user in earlier years but branched out to other companies and phones.  But I am glad I have returned to the Apple family.  I am still learning all of the great features and improvements of older ones.  Love my new iphone.",5,2019-11-18 08:03:00
"59","Best apple phone","A lot has changed on this phone.  Now that I know most of the functions of this phone the more I like it  awesome phone, easy to use, compare to my last phone 11 weights less.  Just a really nice phone",5,2019-12-07 07:43:00
"60","iPhone 11","Like it going to take time to get use to not have a home button but the battery doesn’t seem to last any longer than any of the other ones",5,2020-01-10 18:14:00
"61","Love it!","Updated from an iPhone 8. Love the new phone and it’s features.",5,2020-02-22 15:52:00
"62","Very good customer service","I mean, it’s Apple. Great product. Why buy it at Best Buy? Great customer service. That’s why",5,2020-02-04 14:42:00
"63","Powerful and Awesome!!","The iPhone 11 is an all in one phone. Very fast at it's functions. 6.1 sleek design. You won't be disappointed.",5,2020-01-24 16:08:00
"64","Worth Upgrading","I was using the Iphone 6.  I am so glad I upgrade to the 11.  It is so much faster and has so much more storage.  To go from 16 to 64 is amazing.   The screen is bigger and worth every penny.",5,2019-12-07 21:35:00
"65","Great Phone","My wife had the iPhone 6 before this, and says she loves the upgrades and the phone very much. No regrets on this purchase. Got a good price. They never told us about the activation fees that were coming in the bill, but guess that should have been expected.",5,2019-10-26 07:47:00
"66","Easy to use","Replaced Samsung Note phone. Easy adjustment from Android to Apple. But, I do miss getting emails quicker and the pen feature that Samsung offered.",4,2020-02-28 17:33:00
"67","Excellent","Excellent iPhone great service I love my new phone I can get a lot of work done on it it last on day long it’s a nice cool phone",5,2020-01-10 15:30:00
"68","Great","Good product very happy with the new phone. Would recommend",5,2020-02-21 15:37:00
"69","Best Camera Yet","I hadn’t updated since the SE, which I truly loved for the size, but the thinness and absence of border of the 11 is ideal. The face recognition is a marvel and I love how your unread messages no longer pop on your locked screen for everyone to read.",5,2019-10-25 16:25:00
"70","Better trade in","Traded in the 8 for this one. Best Buy bet Sprint price and the insurance was actually cheaper than Sprint.  Will definitely do all my upgrades at Best Buy.",5,2019-12-20 16:47:00
"71","Christmas gift for my daughter","This year went a bit differently. I normally buy a new phone and then pass my old one down to my daughter but she got the pro and she loves it!",5,2019-12-27 16:14:00
"72","Great phone","Bought this for my 13 year old when it was discounted before the holidays.  He is very happy with it.  So far so good.",5,2020-01-10 20:15:00
"73","Nice","Love how it sparkles and protects my phone.  It’s fun!",5,2020-02-19 18:31:00
"74","Same Reliability","I upgraded from an iPhone 8 to 11. The phone screen is bigger than I’m used to but the performance and battery life are much improved.",4,2020-02-29 09:10:00
"75","iphone11","upgraded to iphone 11 from iphone 4S. so it’s really a great buy. the techs ate very helpful",5,2020-01-25 12:09:00
"76","Great deal","This deal to purchase the phone over 24 months is better than Sprint or Apple Store deals.",5,2020-01-24 15:17:00
"77","A slight step up","I just upgraded from the iPhone 8 Plus . I was Reluctant to change because I didn’t wanna lose my home button. However, you get used to it very quickly I like the phone although I am still a little confused by the camera.",5,2019-11-01 15:58:00
"78","Time for an upgrade, get with the program","As an iPhone user, turned from Android, I can safely say that this is hands down one of the best devices on the market!",5,2020-01-03 15:41:00
"79","Great","I purchased this for my fiancé. She loves the phone. I was not a iPhone person but more i am",5,2020-01-18 05:26:00
"80","Easy Sale","No hassle easy purchase. Knowledgeable sales staff",5,2020-02-14 15:38:00
"81","Great","Money well spent says good picture quality great camera sound quality is good and it’s fast",5,2020-01-18 03:17:00
"82","New & improved!","I purchased the new iphone for my wife.   She enjoys the iphone but many of the features are new to her and it is a little challenging for her to get a grasp on how they all function.",5,2019-11-18 08:08:00
"83","Love this phone!","I had an iPhone 8 whose lease came to an end.  I liked the 8, and only upgraded because the lease was over.  Now, I'm so glad I upgraded to the iPhone 11.  It is a little bigger than my old 8, but has more memory and FANTASTIC cameras.",5,2019-10-15 15:03:00
"84","Pop","The red is a very bold yet beauty color option. My husband chose as a Christmas gift: he likes it A lot but before then the iPhoneX , he was not a fan of",5,2019-12-07 13:09:00
"85","Worth buying","Bestbuy definitely made it easy and comfortable to get two phone with sprint definitely will do it agian",5,2020-01-06 22:54:00
"86","Great phone major upgrade from my iPhone 8","This phone replaced my IPhone 8 which had performed quite well. This phone takes a little getting used to, however, once you go through the tutorial it gets easier to use.",5,2019-11-23 07:56:00
"87","Not a bad phone","Depends on what you’re looking or needing from a phone but I do miss the finger touch option verses the face scan.",4,2020-02-28 19:40:00
"88","Kids are happy","Not much as to an oppinion, though my kids loved them.",5,2020-02-07 20:26:00
"89","great looking case","the case fits the i phone really well. it protects it against the edges of the phone.",5,2020-01-15 19:02:00
"90","It's a Iphone","I bought the iPhone 11 for my daughter to replace an iPhone 8. The phone works just like you would expect a iPhone too work. Best Buy is my go to for all my phone up grades, super fast and simple.",5,2019-11-01 15:34:00
"91","Took time to learn iphone 11 features","The iPhone 11 was a good upgrade from IPhone 6, although the 11 features are from here say. could use a ""complete"" pdf of the Iphone 11. Features I did discover are what would be expected from Apple and are worth the purchase.",5,2019-10-12 08:54:00
"92","Good quality iPhone","This phone is great and very accessible. Very easy to use and has very good features only available to this phone and the 11 pros. My battery lasts all day, it’s 4 pm and I’ve used my phone throughout the day since around 7 am and I’m barely at 50%. The night mode is very helpful for dark pictures and the camera quality is amazing. I will say that the front facing camera on apps like Snapchat isn’t the best, but other than that it’s a great phone and much more affordable than the 11 pros.",5,2019-12-20 18:20:00
"93","Great phone","Purchased as a gift....let's just say I wish I would have purchased for myself.  No complaint from the receiver.",5,2019-12-27 15:27:00
"94","Great phone","Been using Samsung Notes for years. When this phone was $400 less than the Note 10 that I wanted, I thought I would give it a try. I'm really enjoying the continuity feature between my MacBook, iPad, and apple watch.",5,2019-10-16 05:55:00
"95","GREAT PHONE. GREAT DEAL","The entry level iPhone 11 is great. Beautiful looks, beautiful features. Great price too. Whatever carrier you are through do all your upgrades through Best Buy instead of you carrier. They treat you very good.",5,2019-10-19 14:30:00
"96","Iphone 11","This phone is amazing. There are a few features that were very hard to get use to but after a month I'm getting there.",5,2019-12-20 23:18:00
"97","It’s great!","Great phone-I love it! Highly recommend it and Best Buy has great customer service!",5,2020-01-13 11:10:00
"98","Great phone","This new iPhone is a great upgrade from my Galaxy S8. The Face ID security from  Apple  is second to none!",5,2019-12-28 02:51:00
"99","amazing","apples iPhone 11 64G is the ultimate cell phone has all the bells and whistles",5,2020-01-14 19:43:00
"100","Saleman","Great job with the sale Quincy.You know your product.",5,2020-01-31 19:47:00
"101","Great","I bought to use as a gps & another Ipod for my music",5,2020-01-31 21:05:00
"102","Amazing","Went to Best Buy and it was there waiting for me, no lines! On the launch day! Apple store on the other hand had a 2 hour wait :)",5,2019-09-27 21:08:00
