"","Heading","Text","Rating","Time"
"825","Great I-phone upgrade","Love it!! Very user friendly. And slot of new features.",5,2019-11-16 07:38:00
"826","Like it a lot. Thin case","Pretty good, not necessarily intuitive on transfer of photos from emails etc to photo slbum",4,2020-01-04 17:18:00
"827","Great buy","Great buy with amazing results and exceeds my expectations for camera and customer service",4,2020-01-04 21:48:00
"828","Great camera but a heavy phone","It reminds me of the original cell phones that looked like a brick.",4,2020-01-19 13:51:00
"829","Good camera.","I am hard of hearing and the new iPhone 11 is not quite as loud as my old iPhone 8.",4,2020-01-05 05:40:00
"830","Love the phone","I love the phone. Screen size is great. Clearing of picture is wonderful.",4,2020-01-11 20:22:00
"831","Good","Good item , and good service for the crew And the phone easy use",4,2020-01-12 13:43:00
"832","Great camera for beginners!","no problems, very happy with my purchase would do so again",4,2020-01-10 16:11:00
"833","Excellent night mode camera feature","My wife love the night mode camera feature. Is really impressive.",4,2020-01-03 15:30:00
"834","Ok","Works as expected. Good camera. Hard to get excited about a replacement.",4,2019-12-27 19:58:00
"835","Love the iPhone","I got the iPhone 11 64GB and really love it. Camera is good and has lots of storage.  Recommend.",4,2019-12-06 16:41:00
"836","Easy to use","Haven't had this phone very long,  so far so good,  I'm glad I updated.",4,2019-12-23 07:50:00
"837","Great phone!","Phone is fast on the internet, easy to use.  Takes great pictures!",4,2019-12-02 08:47:00
"838","Good upgrade to XR","Very similar to iPhone XR only difference being it has 2 cameras.
Also more storage space 
Good picture quality and different options for clicking photos",3,2020-02-04 12:55:00
"839","Outstanding Phone","I had Samsung android phones for awhile now and decided after my family members talked me into to getting an iPhone. I love it. Being an avid iPad user the learning curve was fast and easy. I never really learned all features of the android phone I had. The iPhone is very user friendly for us older users. I highly recommend It.",5,2019-12-31 07:25:00
